id,name,artist,cover_url,album_url,buy_url
1,Curtain Call: The Hits,,https://fastly-s3.allmusic.com/release/mr0003695145/front/220/P2ih9VcAQReRKGxTzJB7mJhUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/curtain-call-the-hits-mw0000673369
2,Forty Licks,,https://fastly-s3.allmusic.com/release/mr0000348150/front/220/9rEaJijhbB2DSfrJ0layjZhUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/forty-licks-mw0000661926
3,Superunknown,,https://fastly-s3.allmusic.com/release/mr0003706575/front/220/1RVbjn_jd3D1EqEDLinVZA4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/superunknown-mw0000107152
4,The Definitive Collection,,https://fastly-s3.allmusic.com/release/mr0001083616/front/220/6wbuqkf1aMDPVx0YQ_QPYB_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/the-definitive-collection-mw0000351448
5,Greatest Hits,,https://fastly-s3.allmusic.com/release/mr0000848555/front/220/PebqrwxJ3di9UsJdYw3AfByhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/greatest-hits-mw0000261700
6,Man in Black: His Greatest Hits,,https://fastly-s3.allmusic.com/release/mr0000738945/front/220/q4PiyacQ6A0Ey54U3rRwYByhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/man-in-black-his-greatest-hits-mw0000048171
7,Dylan,,https://fastly-s3.allmusic.com/release/mr0001479099/front/220/APB4zdWykumfbQPvtFNy1wSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/dylan-mw0000749186
8,"Greatest Hits, Vol. 1 [Rhino]",,https://fastly-s3.allmusic.com/release/mr0002754282/front/220/YizU15xdt25Q1O1xkBu47hyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/greatest-hits-vol-1-rhino--mw0000203620
9,Life Is Beautiful,,https://fastly-s3.allmusic.com/release/mr0006623937/front/220/qsxDGs9gwWKmHVkGINv5JipQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/life-is-beautiful-mw0004473661
10,Moonlight Concessions,,https://fastly-s3.allmusic.com/release/mr0006602603/front/220/R6bKePgdfdOSm2nRQ_Eq21WnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/moonlight-concessions-mw0004456967
11,Who Let the Dogs Out,,https://fastly-s3.allmusic.com/release/mr0006529543/front/220/RYO9Arnj8Bvh4tOxMPiKdQ4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/who-let-the-dogs-out-mw0004396837
