id,name,url
7,Acerbic,
8,Aggressive,
9,Agreeable,
10,Airy,
11,Ambitious,
12,Amiable/Good-Natured,
13,Angry,
14,Angst-Ridden,
15,Anguished/Distraught,
16,Angular,
17,Animated,
18,Anthemic,
19,Apocalyptic,
20,Arid,
21,Athletic,
22,Atmospheric,
23,Austere,
24,Autumnal,
25,Belligerent,
26,Benevolent,
27,Bitter,
28,Bittersweet,
29,Bleak,
30,Boisterous,
31,Bombastic,
32,Bouncy,
33,Brash,
34,Brassy,
35,Bravado,
36,Bright,
37,Brittle,
38,Brooding,
39,Calm/Peaceful,
40,Campy,
41,Capricious,
42,Carefree,
43,Cartoonish,
44,Cathartic,
45,Celebratory,
46,Cerebral,
47,Cheerful,
48,Child-like,
49,Circular,
50,Clinical,
51,Cold,
52,Comic,
53,Complex,
54,Concise,
55,Confessional,
56,Confident,
57,Confrontational,
58,Cosmopolitan,
59,Crunchy,
60,Cute,
61,Cynical/Sarcastic,
62,Dark,
63,Declamatory,
64,Defiant,
65,Delicate,
66,Demonic,
67,Desperate,
68,Detached,
69,Devotional,
70,Difficult,
71,Dignified/Noble,
72,Dissonant,
73,Dramatic,
74,Dreamy,
75,Driving,
76,Druggy,
77,Earnest,
78,Earthy,
79,Ebullient,
80,Eccentric,
81,Ecstatic,
82,Eerie,
83,Effervescent,
84,Elaborate,
85,Elegant,
86,Elegiac,
87,Energetic,
88,Enigmatic,
89,Epic,
90,Erotic,
91,Ethereal,
92,Euphoric,
93,Exciting,
94,Exotic,
95,Exploratory,
96,Explosive,
97,Extroverted,
98,Exuberant,
99,Fantastic/Fantasy-like,
100,Feral,
101,Feverish,
102,Fierce,
103,Fiery,
104,Flashy,
105,Flowing,
106,Fractured,
107,Freewheeling,
108,Fun,
109,Funereal,
110,Gentle,
111,Giddy,
112,Gleeful,
113,Gloomy,
114,Graceful,
115,Greasy,
116,Grim,
117,Gritty,
118,Gutsy,
119,Happy,
120,Harsh,
121,Heavy,
122,Hedonistic,
123,Heroic,
124,Hostile,
125,Humorous,
126,Hungry,
127,Hymn-like,
128,Hyper,
129,Hypnotic,
130,Improvisatory,
131,Indulgent,
132,Innocent,
133,Insular,
134,Intense,
135,Intimate,
136,Introspective,
137,Ironic,
138,Irreverent,
139,Jovial,
140,Joyous,
141,Kinetic,
142,Knotty,
143,Laid-Back/Mellow,
144,Languid,
145,Lazy,
146,Light,
147,Literate,
148,Lively,
149,Lonely,
150,Loose,
151,Lush,
152,Lyrical,
153,Macabre,
154,Magical,
155,Majestic,
156,Malevolent,
157,Manic,
158,Marching,
159,Martial,
160,Meandering,
161,Mechanical,
162,Meditative,
163,Melancholy,
164,Melodic,
165,Menacing,
166,Messy,
167,Mighty,
168,Monastic,
169,Monumental,
170,Motoric,
171,Mysterious,
172,Mystical,
173,Naive,
174,Narcotic,
175,Narrative,
176,Negative,
177,Nervous/Jittery,
178,Nihilistic,
179,Nocturnal,
180,Nostalgic,
181,Ominous,
182,Optimistic,
183,Opulent,
184,Organic,
185,Ornate,
186,Outraged,
187,Outrageous,
188,Paranoid,
189,Passionate,
190,Pastoral,
191,Patriotic,
192,Perky,
193,Philosophical,
194,Plain,
195,Plaintive,
196,Playful,
197,Poetic,
198,Poignant,
199,Positive,
200,Powerful,
201,Precious,
202,Provocative,
203,Pulsing,
204,Pure,
205,Quaint,
206,Quirky,
207,Radiant,
208,Rambunctious,
209,Ramshackle,
210,Raucous,
211,Reassuring/Consoling,
212,Rebellious,
213,Reckless,
214,Refined,
215,Reflective,
216,Regretful,
217,Relaxed,
218,Reserved,
219,Resolute,
220,Restrained,
221,Reverent,
222,Rhapsodic,
223,Rollicking,
224,Romantic,
225,Rousing,
226,Rowdy,
227,Rustic,
228,Sacred,
229,Sad,
230,Sarcastic,
231,Sardonic,
232,Satirical,
233,Savage,
234,Scary,
235,Scattered,
236,Searching,
237,Seductive,
238,Self-Conscious,
239,Sensual,
240,Sentimental,
241,Serious,
242,Severe,
243,Sexual,
244,Sexy,
245,Shimmering,
246,Silly,
247,Sleazy,
248,Slick,
249,Smooth,
250,Snide,
251,Soft/Quiet,
252,Somber,
253,Soothing,
254,Sophisticated,
255,Spacey,
256,Spacious,
257,Sparkling,
258,Sparse,
259,Spicy,
260,Spiritual,
261,Spontaneous,
262,Spooky,
263,Sprawling,
264,Sprightly,
265,Springlike,
266,Stately,
267,Street-Smart,
268,Striding,
269,Strong,
270,Stylish,
271,Suffocating,
272,Sugary,
273,Summery,
274,Sunny,
275,Suspenseful,
276,Swaggering,
277,Sweet,
278,Swinging,
279,Technical,
280,Tender,
281,Tense/Anxious,
282,Theatrical,
283,Thoughtful,
284,Threatening,
285,Thrilling,
286,Tight,
287,Tough,
288,Tragic,
289,Transparent/Translucent,
290,Trashy,
291,Trippy,
292,Triumphant,
293,Turbulent,
294,Uncompromising,
295,Understated,
296,Unsettling,
297,Uplifting,
298,Urgent,
299,Virile,
300,Visceral,
301,Volatile,
302,Vulgar,
303,Vulnerable,
304,Warm,
305,Weary,
306,Whimsical,
307,Wintry,
308,Wistful,
309,Witty,
310,Wry,
311,Yearning,
